episode,reward,avg_loss,epsilon,action0_frac,action1_frac,action2_frac
0,2.500000,0.000000,0.999969,0.000000,0.000000,1.000000
1,0.500000,0.000000,0.999938,1.000000,0.000000,0.000000
2,0.500000,0.000000,0.999906,1.000000,0.000000,0.000000
3,0.500000,0.000000,0.999875,1.000000,0.000000,0.000000
4,0.500000,0.000000,0.999844,1.000000,0.000000,0.000000
5,2.500000,0.000000,0.999812,0.000000,0.000000,1.000000
6,2.500000,0.000000,0.999781,0.000000,0.000000,1.000000
7,0.500000,0.000000,0.999750,1.000000,0.000000,0.000000
8,2.500000,0.000000,0.999719,0.000000,0.000000,1.000000
9,2.500000,0.000000,0.999687,0.000000,0.000000,1.000000
10,1.166700,0.000000,0.999656,0.000000,1.000000,0.000000
11,0.500000,0.000000,0.999625,1.000000,0.000000,0.000000
12,2.500000,0.000000,0.999594,0.000000,0.000000,1.000000
13,0.500000,0.000000,0.999563,1.000000,0.000000,0.000000
14,2.500000,0.000000,0.999531,0.000000,0.000000,1.000000
15,1.166700,0.000000,0.999500,0.000000,1.000000,0.000000
16,2.500000,0.000000,0.999469,0.000000,0.000000,1.000000
17,0.500000,0.000000,0.999437,1.000000,0.000000,0.000000
18,2.500000,0.000000,0.999406,0.000000,0.000000,1.000000
19,1.166700,0.000000,0.999375,0.000000,1.000000,0.000000
20,0.500000,0.000000,0.999344,1.000000,0.000000,0.000000
21,0.500000,0.000000,0.999313,1.000000,0.000000,0.000000
22,1.166700,0.000000,0.999281,0.000000,1.000000,0.000000
23,1.166700,0.000000,0.999250,0.000000,1.000000,0.000000
24,0.500000,0.000000,0.999219,1.000000,0.000000,0.000000
25,0.500000,0.000000,0.999188,1.000000,0.000000,0.000000
26,1.166700,0.000000,0.999156,0.000000,1.000000,0.000000
27,2.500000,0.000000,0.999125,0.000000,0.000000,1.000000
28,2.500000,0.000000,0.999094,0.000000,0.000000,1.000000
29,1.166700,0.000000,0.999062,0.000000,1.000000,0.000000
30,2.500000,0.000000,0.999031,0.000000,0.000000,1.000000
31,2.500000,0.000000,0.999000,0.000000,0.000000,1.000000
32,0.500000,0.000000,0.998969,1.000000,0.000000,0.000000
33,2.500000,0.000000,0.998938,0.000000,0.000000,1.000000
34,2.500000,0.000000,0.998906,0.000000,0.000000,1.000000
35,0.500000,0.000000,0.998875,1.000000,0.000000,0.000000
36,2.500000,0.000000,0.998844,0.000000,0.000000,1.000000
37,2.500000,0.000000,0.998812,0.000000,0.000000,1.000000
38,0.500000,0.000000,0.998781,1.000000,0.000000,0.000000
