episode,reward,avg_loss,epsilon,action0_frac,action1_frac,action2_frac
0,2.500000,0.000000,0.999969,0.000000,0.000000,1.000000
1,1.166700,0.000000,0.999938,0.000000,1.000000,0.000000
2,2.500000,0.000000,0.999906,0.000000,0.000000,1.000000
3,2.500000,0.000000,0.999875,0.000000,0.000000,1.000000
4,0.500000,0.000000,0.999844,1.000000,0.000000,0.000000
5,2.500000,0.000000,0.999812,0.000000,0.000000,1.000000
6,2.500000,0.000000,0.999781,0.000000,0.000000,1.000000
7,2.500000,0.000000,0.999750,0.000000,0.000000,1.000000
8,0.500000,0.000000,0.999719,1.000000,0.000000,0.000000
9,1.166700,0.000000,0.999687,0.000000,1.000000,0.000000
10,1.166700,0.000000,0.999656,0.000000,1.000000,0.000000
11,2.500000,0.000000,0.999625,0.000000,0.000000,1.000000
12,1.166700,0.000000,0.999594,0.000000,1.000000,0.000000
13,2.500000,0.000000,0.999563,0.000000,0.000000,1.000000
14,1.166700,0.000000,0.999531,0.000000,1.000000,0.000000
15,0.500000,0.000000,0.999500,1.000000,0.000000,0.000000
16,1.166700,0.000000,0.999469,0.000000,1.000000,0.000000
17,0.500000,0.000000,0.999437,1.000000,0.000000,0.000000
18,2.500000,0.000000,0.999406,0.000000,0.000000,1.000000
19,1.166700,0.000000,0.999375,0.000000,1.000000,0.000000
20,2.500000,0.000000,0.999344,0.000000,0.000000,1.000000
21,1.166700,0.000000,0.999313,0.000000,1.000000,0.000000
22,2.500000,0.000000,0.999281,0.000000,0.000000,1.000000
23,2.500000,0.000000,0.999250,0.000000,0.000000,1.000000
24,2.500000,0.000000,0.999219,0.000000,0.000000,1.000000
25,0.500000,0.000000,0.999188,1.000000,0.000000,0.000000
26,1.166700,0.000000,0.999156,0.000000,1.000000,0.000000
27,0.500000,0.000000,0.999125,1.000000,0.000000,0.000000
28,0.500000,0.000000,0.999094,1.000000,0.000000,0.000000
29,2.500000,0.000000,0.999062,0.000000,0.000000,1.000000
30,2.500000,0.000000,0.999031,0.000000,0.000000,1.000000
31,2.500000,0.000000,0.999000,0.000000,0.000000,1.000000
32,0.500000,0.000000,0.998969,1.000000,0.000000,0.000000
33,1.166700,0.000000,0.998938,0.000000,1.000000,0.000000
34,1.166700,0.000000,0.998906,0.000000,1.000000,0.000000
35,0.500000,0.000000,0.998875,1.000000,0.000000,0.000000
36,0.500000,0.000000,0.998844,1.000000,0.000000,0.000000
37,1.166700,0.000000,0.998812,0.000000,1.000000,0.000000
38,0.500000,0.000000,0.998781,1.000000,0.000000,0.000000
39,1.166700,0.000000,0.998750,0.000000,1.000000,0.000000
40,1.166700,0.000000,0.998719,0.000000,1.000000,0.000000
41,2.500000,0.000000,0.998687,0.000000,0.000000,1.000000
42,2.500000,0.000000,0.998656,0.000000,0.000000,1.000000
43,0.500000,0.000000,0.998625,1.000000,0.000000,0.000000
44,2.500000,0.000000,0.998594,0.000000,0.000000,1.000000
45,2.500000,0.000000,0.998563,0.000000,0.000000,1.000000
46,1.166700,0.000000,0.998531,0.000000,1.000000,0.000000
47,0.500000,0.000000,0.998500,1.000000,0.000000,0.000000
48,2.500000,0.000000,0.998469,0.000000,0.000000,1.000000
49,0.500000,0.000000,0.998437,1.000000,0.000000,0.000000
50,0.500000,0.000000,0.998406,1.000000,0.000000,0.000000
51,0.500000,0.000000,0.998375,1.000000,0.000000,0.000000
52,2.500000,0.000000,0.998344,0.000000,0.000000,1.000000
53,1.166700,0.000000,0.998313,0.000000,1.000000,0.000000
54,2.500000,0.000000,0.998281,0.000000,0.000000,1.000000
55,2.500000,0.000000,0.998250,0.000000,0.000000,1.000000
56,1.166700,0.000000,0.998219,0.000000,1.000000,0.000000
57,1.166700,0.000000,0.998188,0.000000,1.000000,0.000000
58,0.500000,0.000000,0.998156,1.000000,0.000000,0.000000
59,0.500000,0.000000,0.998125,1.000000,0.000000,0.000000
60,1.166700,0.000000,0.998094,0.000000,1.000000,0.000000
61,1.166700,0.000000,0.998062,0.000000,1.000000,0.000000
62,1.166700,0.000000,0.998031,0.000000,1.000000,0.000000
63,2.500000,0.000000,0.998000,0.000000,0.000000,1.000000
64,1.166700,0.000000,0.997969,0.000000,1.000000,0.000000
65,1.166700,0.000000,0.997938,0.000000,1.000000,0.000000
66,1.166700,0.000000,0.997906,0.000000,1.000000,0.000000
67,0.500000,0.000000,0.997875,1.000000,0.000000,0.000000
68,0.500000,0.000000,0.997844,1.000000,0.000000,0.000000
69,1.166700,0.000000,0.997812,0.000000,1.000000,0.000000
70,0.500000,0.000000,0.997781,1.000000,0.000000,0.000000
71,1.166700,0.000000,0.997750,0.000000,1.000000,0.000000
72,2.500000,0.000000,0.997719,0.000000,0.000000,1.000000
73,0.500000,0.000000,0.997687,1.000000,0.000000,0.000000
74,0.500000,0.000000,0.997656,1.000000,0.000000,0.000000
75,0.500000,0.000000,0.997625,1.000000,0.000000,0.000000
76,0.500000,0.000000,0.997594,1.000000,0.000000,0.000000
77,1.166700,0.000000,0.997563,0.000000,1.000000,0.000000
78,1.166700,0.000000,0.997531,0.000000,1.000000,0.000000
79,2.500000,0.000000,0.997500,0.000000,0.000000,1.000000
80,1.166700,0.000000,0.997469,0.000000,1.000000,0.000000
81,1.166700,0.000000,0.997437,0.000000,1.000000,0.000000
82,2.500000,0.000000,0.997406,0.000000,0.000000,1.000000
83,0.500000,0.000000,0.997375,1.000000,0.000000,0.000000
84,0.500000,0.000000,0.997344,1.000000,0.000000,0.000000
85,0.500000,0.000000,0.997313,1.000000,0.000000,0.000000
86,2.500000,0.000000,0.997281,0.000000,0.000000,1.000000
87,1.166700,0.000000,0.997250,0.000000,1.000000,0.000000
88,0.500000,0.000000,0.997219,1.000000,0.000000,0.000000
89,1.166700,0.000000,0.997188,0.000000,1.000000,0.000000
90,0.500000,0.000000,0.997156,1.000000,0.000000,0.000000
91,2.500000,0.000000,0.997125,0.000000,0.000000,1.000000
92,1.166700,0.000000,0.997094,0.000000,1.000000,0.000000
93,1.166700,0.000000,0.997062,0.000000,1.000000,0.000000
94,0.500000,0.000000,0.997031,1.000000,0.000000,0.000000
95,1.166700,0.000000,0.997000,0.000000,1.000000,0.000000
96,1.166700,0.000000,0.996969,0.000000,1.000000,0.000000
97,0.500000,0.000000,0.996938,1.000000,0.000000,0.000000
98,0.500000,0.000000,0.996906,1.000000,0.000000,0.000000
99,2.500000,0.000000,0.996875,0.000000,0.000000,1.000000
100,2.500000,0.000000,0.996844,0.000000,0.000000,1.000000
101,2.500000,0.000000,0.996812,0.000000,0.000000,1.000000
102,0.500000,0.000000,0.996781,1.000000,0.000000,0.000000
103,2.500000,0.000000,0.996750,0.000000,0.000000,1.000000
104,2.500000,0.000000,0.996719,0.000000,0.000000,1.000000
105,2.500000,0.000000,0.996687,0.000000,0.000000,1.000000
106,1.166700,0.000000,0.996656,0.000000,1.000000,0.000000
107,0.500000,0.000000,0.996625,1.000000,0.000000,0.000000
108,0.500000,0.000000,0.996594,1.000000,0.000000,0.000000
109,2.500000,0.000000,0.996563,0.000000,0.000000,1.000000
110,1.166700,0.000000,0.996531,0.000000,1.000000,0.000000
111,0.500000,0.000000,0.996500,1.000000,0.000000,0.000000
112,0.500000,0.000000,0.996469,1.000000,0.000000,0.000000
113,1.166700,0.000000,0.996437,0.000000,1.000000,0.000000
114,0.500000,0.000000,0.996406,1.000000,0.000000,0.000000
115,2.500000,0.000000,0.996375,0.000000,0.000000,1.000000
116,2.500000,0.000000,0.996344,0.000000,0.000000,1.000000
117,2.500000,0.000000,0.996313,0.000000,0.000000,1.000000
118,1.166700,0.000000,0.996281,0.000000,1.000000,0.000000
119,1.166700,0.000000,0.996250,0.000000,1.000000,0.000000
